A_id,B_id
2034,420
2034,738
204,220
204,670
2055,403
2055,21
207,25
207,55
2073,1064
2082,114
2088,195
2088,1020
2088,69
2103,1557
2103,391
2103,162
2115,917
2124,325
2124,690
213,579
213,194
213,294
2130,668
2130,804
2130,596
2142,697
2145,81
2151,1137
2151,1233
2154,518
2154,285
2154,317
2154,214
2154,1126
2163,833
2166,1013
2169,18
2235,1106
2238,894
2268,253
2274,237
2274,88
2274,527
228,180
2298,596
2298,668
2298,804
231,11
2316,1057
2316,1452
2316,1200
2316,1122
2325,1134
234,379
237,501
237,518
237,9
237,285
237,1126
237,871
237,317
2379,895
2394,904
24,73
240,297
240,231
240,315
240,541
2400,1006
2400,409
2442,37
2442,245
2445,306
249,774
249,1530
249,425
249,163
2499,192
2499,2608
252,191
252,697
2523,901
2523,964
2523,1219
2523,758
2523,565
2523,1131
255,463
2550,368
267,214
267,590
267,1126
267,472
267,1100
267,583
267,395
2685,477
2772,1606
279,107
279,225
282,174
285,196
2853,175
2910,116
2910,146
2913,2557
297,275
297,1160
3,60
30,13
300,291
306,188
3084,363
3084,823
3108,842
3111,1260
3111,1102
312,36
312,685
324,345
324,121
324,31
327,530
336,242
336,280
342,579
342,194
342,294
351,759
354,215
357,288
36,24
375,685
375,36
384,639
387,164
387,70
39,58
39,53
396,76
402,225
402,107
417,1584
417,1186
441,1606
450,1606
453,769
453,725
453,746
453,981
474,328
474,155
474,655
483,468
483,98
483,5
483,809
483,40
507,784
507,2785
516,135
525,1057
525,1122
540,613
546,325
555,524
561,420
561,738
582,403
582,21
600,1064
609,114
615,195
615,69
615,1020
630,391
630,1557
630,162
642,917
651,325
651,690
657,804
657,668
657,596
669,697
672,81
678,1233
678,1137
681,214
681,518
681,285
681,1126
681,317
690,833
693,1013
696,18
72,100
72,89
72,64
72,49
75,29
762,1106
765,894
78,796
78,33
795,253
801,88
801,237
801,527
825,596
825,668
825,804
843,1122
843,1057
843,1200
843,1452
852,1134
87,387
90,90
906,895
921,904
927,1006
927,409
93,74
969,37
969,245
972,306
99,378
993,91
993,759
100,575
100,691
1003,1161
1015,83
1018,79
1021,93
1027,29
103,253
1039,176
1054,901
1054,1131
1054,1219
1054,964
1054,565
1054,758
1063,305
1072,11
109,168
1090,354
1090,328
1090,383
1099,503
1111,662
1117,367
1120,290
1129,39
1144,835
1150,2889
1150,303
1156,1606
1159,1606
1162,208
1171,995
1183,116
1183,146
1192,2785
1192,784
1198,487
1204,451
121,176
1213,368
1216,116
1216,146
1219,439
1225,603
1225,734
124,272
1240,370
1246,1064
1249,881
1249,1413
1249,106
1252,69
1252,195
1252,1020
1285,2608
1285,192
1294,1013
130,15
1300,145
1300,32
1327,1606
1339,778
1339,56
1354,1060
136,58
1396,1515
1399,1458
1405,1061
142,242
142,280
1444,305
1471,1599
1477,590
1477,472
1477,536
1477,518
1477,295
1477,240
1477,583
1480,13
1480,51
1489,245
1489,37
1489,721
1489,498
1501,1126
1501,590
1501,518
1501,871
1501,1100
1501,285
1501,317
1501,472
1507,856
1507,881
1507,269
1507,1413
1507,444
1507,106
1510,809
1510,98
1510,127
1510,5
1525,65
1528,13
1528,51
1534,50
1537,157
1552,141
1570,778
1570,56
1573,691
1573,575
1576,253
1582,168
1594,176
1597,272
16,498
16,37
16,245
16,721
160,50
1603,15
1609,58
1615,280
1615,242
163,933
163,21
163,331
163,403
1633,50
1636,403
1636,331
1636,21
1636,933
1639,238
1639,1194
1642,561
1645,245
1645,37
1654,224
166,238
166,1194
1660,508
1666,327
1666,198
1672,125
1675,518
1675,472
1675,1100
1675,536
1675,612
1675,295
1675,240
1681,8
1681,1054
1681,18
169,561
1711,183
1714,18
1714,1054
1714,8
1717,151
172,37
172,245
1723,26
1732,501
1732,472
1732,583
1732,285
1732,1100
1732,612
1732,590
1732,871
1732,9
1744,3
1747,254
1747,621
1759,492
1762,503
1768,177
1786,231
1786,541
1786,297
1786,315
1789,465
1792,662
1804,396
1807,290
181,224
1810,315
1810,541
1810,297
1810,231
1813,1452
1813,1057
1813,1122
1813,1200
1825,426
1843,484
1852,691
1852,575
1855,12
1858,327
1858,198
1864,673
187,508
1870,406
1882,281
1888,248
1891,270
1897,303
1897,2889
1903,722
1903,156
1906,358
1915,297
1915,231
1915,315
1915,541
1927,199
1927,466
193,198
193,327
1930,2643
1930,2889
1930,4
1930,303
1930,435
1930,891
1945,237
1945,527
1954,1160
1954,275
1960,498
1960,721
1963,433
1975,4
1975,303
1975,891
1975,435
1981,916
1981,596
1981,804
1981,668
199,125
1990,487
1993,34
1999,984
2002,638
2008,875
2008,724
202,1100
202,295
202,518
202,536
202,612
202,472
202,240
2020,439
2023,400
2026,746
2029,801
2035,734
2035,603
2041,245
2041,37
2050,1006
2050,409
2074,611
2074,700
2074,802
208,8
208,1054
208,18
2080,547
2086,313
2104,717
2125,830
2155,572
2224,745
2230,611
2230,700
2230,802
2233,1064
2242,646
2251,915
2251,950
2266,1183
2266,1194
2266,238
2293,702
2335,1515
2347,1458
2365,1061
238,183
2404,941
241,8
241,18
241,1054
2422,527
2428,305
244,151
250,26
259,9
259,501
259,871
259,612
259,1100
259,583
259,472
259,285
259,590
2692,116
2692,146
2707,368
271,3
2719,565
2719,1219
2719,1131
2719,758
2719,901
274,254
274,621
28,871
28,285
28,1126
28,590
28,1100
28,317
28,472
28,518
2848,565
2848,1131
2848,1219
2848,901
286,492
2869,2749
2869,2719
289,503
2935,2720
295,177
3070,80
3070,413
3070,760
3073,217
3073,963
3076,277
3076,957
3085,1182
3085,1491
3091,1449
3091,1102
3106,1491
313,297
313,315
313,231
313,541
316,465
319,662
331,396
334,290
337,231
337,541
337,297
337,315
34,106
34,269
34,856
34,444
34,1413
34,881
340,1122
340,1452
340,1057
340,1200
352,426
37,5
37,809
37,98
37,127
370,484
379,691
379,575
382,12
385,198
385,327
391,673
397,406
4,240
4,295
4,472
4,518
4,536
4,583
4,590
409,281
415,248
418,270
424,303
424,2889
430,156
430,722
433,358
442,541
442,315
442,297
442,231
454,466
454,199
457,891
457,303
457,435
457,4
457,2643
457,2889
472,527
472,237
481,275
481,1160
487,498
487,721
490,433
502,891
502,4
502,435
502,303
508,804
508,596
508,668
508,916
517,487
52,65
520,34
526,984
529,638
535,875
535,724
547,439
55,51
55,13
550,400
553,746
556,801
562,603
562,734
568,37
568,245
577,409
577,1006
601,802
601,611
601,700
607,547
61,50
613,313
631,717
64,157
652,830
682,572
7,13
7,51
751,745
757,802
757,700
757,611
760,1064
769,646
778,915
778,950
79,141
793,238
793,1183
793,1194
820,702
862,1515
874,1458
892,1061
931,941
949,527
955,305
97,778
97,56
24,73
36,24
1150,435
1018,79
1171,995
1799,933
1835,180
1637,7
1481,31
170,466
124,272
1229,372
1061,327
1744,3
1754,317
1704,11
1686,579
1172,655
1523,153
1815,579
1128,1161
1584,41
1582,168
1142,328
1583,826
1211,724
1292,119
1019,444
1058,626
1172,155
142,280
1477,395
1061,208
1317,964
1188,1019
1206,964
1317,758
1477,317
1478,291
1732,285
1502,41
2195,40
317,7
2036,769
1545,64
1077,942
278,95
2869,2719
2400,409
1340,1064
722,40
2364,205
1058,585
1666,198
1718,942
1488,1544
2174,110
245,942
1875,107
2350,381
843,1057
2195,738
2105,1137
1339,56
8,121
1481,121
1489,37
200,383
1206,1131
137,24
1786,541
554,317
657,668
678,1233
1915,297
1915,315
483,98
1620,697
1815,194
312,685
1843,484
502,4
237,518
375,36
1054,901
382,732
1193,1452
843,1200
317,14
2316,1200
1528,51
1099,503
1855,732
1673,383
1637,372
1488,54
1163,4
601,802
1206,758
1501,518
1002,567
452,421
1507,881
2294,291
2078,881
47,54
415,248
188,209
1523,1277
1235,32
1659,143
2231,56
2293,702
1661,585
2298,668
1183,116
1752,225
1897,2889
2041,37
2156,603
1545,49
228,180
1287,603
1191,1000
1225,734
1747,621
734,986
2029,801
1891,270
16,37
274,621
556,801
1015,388
1050,83
1174,626
