A_id,B_id
2023,400
2026,746
2029,801
2035,603
2050,409
2074,611
208,8
2080,547
2086,313
2104,717
2125,830
2155,572
2224,745
2230,802
2233,1064
2242,646
2251,950
2266,1194
2293,702
2335,1515
2347,1458
2365,1061
238,183
2404,941
241,18
2422,527
2428,305
244,151
250,26
259,9
259,501
259,472
259,285
2692,146
271,3
2719,758
2719,901
28,317
2848,1219
286,492
2869,2749
3070,80
3070,413
3070,760
3073,217
3076,277
3076,957
3091,1449
3091,1102
313,297
316,465
331,396
334,290
337,315
34,106
34,269
34,444
34,1413
340,1122
340,1057
37,5
37,98
37,127
370,484
379,691
379,575
385,198
391,673
397,406
4,240
4,583
409,281
415,248
418,270
424,303
430,156
430,722
433,358
442,541
454,466
454,199
457,303
457,435
472,527
481,1160
487,498
487,721
490,433
508,668
508,916
517,487
52,65
520,34
526,984
550,400
553,746
556,801
562,603
577,409
601,611
607,547
61,50
613,313
631,717
64,157
652,830
682,572
7,13
751,745
757,802
760,1064
769,646
778,950
79,141
793,1194
820,702
862,1515
874,1458
892,1061
931,941
949,527
955,305
97,56
24,73
36,24
1150,435
1018,79
1171,995
1799,933
1835,180
1637,7
1481,31
170,466
124,272
1061,327
1744,3
1754,317
1704,11
1686,579
1172,655
1523,153
1815,579
1128,1161
1584,41
1582,168
1583,826
1019,444
1732,285
1502,41
2195,40
278,95
1340,1064
722,40
2364,205
1489,37
200,383
137,24
554,317
1815,194
1843,484
382,732
1193,1452
843,1200
2316,1200
1855,732
1673,383
1637,372
1206,758
47,54
415,248
1235,32
1659,143
2293,702
1752,225
1545,49
734,986
2029,801
1891,270
16,37
556,801
