product name,brand,price,number of colors/scent,rating
'Butter Bronzer Murumuru Butter Bronzer','Physicians Formula',$14.99 - $15.99,6,4.50
'Blush','NARS',$30.00,7,4.60
'Conceal &amp; Define Full Coverage Concealer','Makeup Revolution',$7.00,24,4.10
'Poreless Putty Primer','e.l.f. Cosmetics',$8.00,0,4.00
'Shimmer Veil','COVER FX',$28.00,10,4.80
'Almost Powder Makeup','Clinique',$29.00,6,4.60
'Beyond Perfecting Foundation + Concealer','Clinique',$29.00,27,4.20
'Hydrating Mineral Veil Finishing Powder','BareMinerals',$24.00,0,4.50
'barePro Performance Wear Liquid Foundation Broad Spectrum SPF 20','BareMinerals',$34.00,30,4.10
'Gripping Primer + Firming','COVER FX',$38.00,0,4.80
'Adjustable Coverage Foundation','ULTA',$14.00,20,4.30
'Exposed Cheek Palette','NARS',$59.00,0,3.90
'Sun Bunny Natural Bronzer','Too Faced',$30.00,0,4.50
'Confidence In A Foundation','It Cosmetics',$32.00,48,3.60
'Double Wear Makeup Pump','Estée Lauder',$10.00,0,3.90
'Hangover Replenishing Face Primer','Too Faced',$34.00,0,4.40
'The POREfessional Face Primer Mini','Benefit Cosmetics',$13.00,0,4.40
'Mineralize Skinfinish Natural','MAC',$35.00,9,4.40
'Illuminating Mineral Veil Finishing Powder','BareMinerals',$24.00,0,4.60
'Matte Finish Makeup Setting Spray','NYX Professional Makeup',$8.50,0,4.30
'HD Pro Concealer','L.A. Girl',$4.99,43,4.00
'16HR Camo Concealer','e.l.f. Cosmetics',$5.00,18,3.90
'Poreless Face Primer','ULTA',$12.50,0,4.00
'Fluidity Full-Coverage Foundation','Morphe',$18.00,60,3.20
'Shimmering Skin Perfector Pressed Highlighter','BECCA',$38.00,11,4.70
'Contour Powder Kit','Anastasia Beverly Hills',$40.00,0,4.40
'Online Only Moist &amp; Firm BB Cream','IPKN',$29.00,5,4.70
'Online Only No Poreblem Primer','Touch In Sol',$18.00,0,3.80
'Loose Highlighter','Anastasia Beverly Hills',$25.00,3,4.20
'Celebration Foundation','It Cosmetics',$35.00 - $36.00,8,4.30
'Amazonian Clay Full Coverage Airbrush Foundation','Tarte',$36.00,11,4.50
'Mineral Blush','ULTA',$12.00,8,4.50
'Sheer Glow Foundation','NARS',$47.00,39,4.10
'Youthful Glow Foundation Serum Drops','ULTA',$18.00,26,3.60
'Intense Matte Lip + Cheek Pencil','NUDESTIX',$26.00,12,4.10
'Rénergie Lift Anti-Wrinkle Lifting SPF 20 Foundation','Lancôme',$48.00,20,4.40
'Hello Flawless Powder Foundation','Benefit Cosmetics',$34.00,6,4.40
'Sweethearts Bronzer Baked Luminous Glow Bronzer','Too Faced',$30.00,0,4.70
'Finishing Powder','ULTA',$10.00,5,4.30
'De-Slick Oil Control Makeup Setting Spray','Urban Decay Cosmetics',$32.00,0,4.30
'Fit Me Loose Finishing Powder','Maybelline',$7.99,8,4.20
'Fit Me Matte + Poreless Liquid Foundation','Maybelline',$7.99,38,4.10
'Travel Size CC+ Cream with SPF 50+','It Cosmetics',$15.00,2,4.20
'Timeless Smoothing Primer','Tarte',$39.00,0,4.20
'Youthful Glow Primer Serum','ULTA',$18.00,0,4.00
'The POREfessional Face Primer Value Size','Benefit Cosmetics',$54.00,0,4.70
'Feel The Moment Anti-Aging Ultra Hydrating Sensory Awakening Primer Serum','It Cosmetics',$38.00,0,4.50
'Glitter Drops','COVER FX',$44.00,3,4.50
