product name,brand,price,number of colors/scent,rating
'Peach &amp; Glow Mini Chocolate Duo','I Heart Revolution',$7.00,0,4.40
'Brontour','Morphe',$12.00,6,4.30
'Travel Size La Base Pro Perfecting Makeup Primer','Lancôme',$20.00,0,4.50
'Mineral Cleansing Wipes','BareMinerals',$15.00,0,4.60
'Chubby Stick Sculpting Highlight','Clinique',$24.00,0,4.50
'Face Form Contouring and Blush Palette','Sleek MakeUP',$14.99,3,4.30
'Satin Touch Blush','Essence',$2.99,2,4.70
'CORALista Coral Powder Blush','Benefit Cosmetics',$30.00,0,4.50
'The POREfessional: Matte Rescue Mattifying Gel Mini','Benefit Cosmetics',$13.00,0,3.90
'Online Only Holiday Edition Hoola Matte Bronzer','Benefit Cosmetics',$30.00,0,5.00
'Extra Dimension Blush','MAC',$29.00,5,4.80
'Limited Edition Rose Makeup Fixer','Ofra Cosmetics',$16.00,0,4.80
'Online Only Camouflage Corrector Palette','Makeup Revolution',$15.00,0,4.70
'Fast Base Concealer','Makeup Revolution',$5.00,14,4.10
'Onyx Primer','Makeup Revolution',$12.00,0,3.20
'Good Hydrations Silky Face Primer','BareMinerals',$26.00,0,4.40
'High Performance Setting Spray','COVER FX',$31.00,0,4.20
'FaceStudio Master Camo Color Correcting Pen','Maybelline',$9.99,2,3.40
'Hyper Real Glow Palette: Get Lit','MAC',$39.50,0,NA
'Color Icon Bronzer','Wet n Wild',$4.99,4,3.40
'Alight Multi-Mineral BB Cream','Pacifica',$16.00,0,3.90
'Stay Matte But Not Flat Liquid Foundation','NYX Professional Makeup',$7.50,14,3.60
'The Healthy Powder SPF 16','Physicians Formula',$14.99,8,4.40
'Highlighting Powder','NARS',$38.00,6,4.10
'CC Cream - Total Effects Tone Correcting Moisturizer with Sunscreen Broad Spectrum SPF 15','Olay',$24.99,0,3.90
'Crystal Dew Makeup Setting Spray','Pacifica',$10.00,0,4.30
'Camouflage Cream Wake Up Effect','Catrice',$5.99,0,3.90
'Butter Highlighter','Physicians Formula',$11.49,5,4.40
'Posietint Cheek &amp; Lip Stain Mini','Benefit Cosmetics',$12.00,0,4.20
'Blurring Primer','COVER FX',$38.00,0,4.10
'Take The Day Off Cleansing Milk','Clinique',$28.00,0,3.70
'Skin Perfecting Powder Balancing Act','PÜR',$26.00,0,4.50
'Light Source 3-in-1 Illuminating Primer','LORAC',$35.00,3,4.50
'Fix It Forget It Setting Spray','Lancôme',$34.00,0,4.30
'Online Only Velvet Skin Coat','DHC',$22.50,0,3.90
'Soothing Face Primer','e.l.f. Cosmetics',$6.00,0,4.50
'Iridescent Loose Powder','MAC',$29.00,0,5.00
'PhotoReady Candid Natural Finish Anti-Pollution Foundation','Revlon',$6.59,31,4.20
'Cherry Bomb Cherry Cheek Powders','Pacifica',$18.00,0,5.00
'Mattifying Setting Spray','COVER FX',$31.00,0,4.20
'PHYTO-PIGMENTS Last Looks Blush','Juice Beauty',$25.00,4,4.60
'Strobe Highlighter','Makeup Revolution',$6.00,7,3.80
'Online Only H20 Fresh Dewy Hydrating Face Primer','J.Cat Beauty',$7.99,0,4.50
'Micellar Cleansing Water Ultra and Makeup Remover','La Roche-Posay',$15.99,0,4.60
'De-Slick Complexion Primer','Urban Decay Cosmetics',$36.00,0,3.00
'TruBlend Matte Made Liquid Foundation','CoverGirl',$11.49,40,3.90
'Island Hottie Blush Palette','L.A. Girl',$10.99,0,4.00
'PHYTO-PIGMENTS Perfecting Concealer','Juice Beauty',$25.00,5,3.80
'Dual Finish Highlighter Multi-Tasking Illuminating Powder','Lancôme',$40.00,5,4.50
'Bronze Booster Glow-Boosting Pressed Bronzer','Physicians Formula',$15.99,2,4.40
'Make-up Remover Cleansing Towelettes','Neutrogena',$8.99,0,4.60
'Hyper Real Palette: Shimmy Peach','MAC',$39.50,0,5.00
'A Little Sun Face Color','BareMinerals',$22.00,0,4.50
'POREfection Mattifying Face Primer','LORAC',$33.00,0,4.10
'Nudies All Over Face Color - Glow','NUDESTIX',$32.00,3,3.60
'Professional Loose Powder','CoverGirl',$6.49,3,4.00
'Hope In A Jar Foundation Broad Spectrum SPF 20','Philosophy',$39.00,2,4.50
'Online Only Nikkietutorials Cloud 9 Highlighter','Ofra Cosmetics',$29.00,0,4.70
'Bronze Goddess Illuminating Powder Gelée','Estée Lauder',$47.00,3,4.40
'In Your Prime Illuminating Primer','FLOWER Beauty',$10.99,0,4.40
'Out Of The Blue Blush','PÜR',$24.00,2,5.00
'Prime and Fine Poreless Blur Primer','Catrice',$7.99,0,4.00
'Online Only White Tea Tinted Veil','Winky Lux',$15.00,5,4.30
'Instant Concealer','Clarins',$33.00,3,4.40
'Online Only Baked Mediterranean Bronzer','Laura Geller',$16.50,0,3.40
'High Beam Satiny-Pink Liquid Highlighter','Benefit Cosmetics',$26.00,0,4.40
'Travel Size Naked Skin Weightless Complete Coverage Concealer','Urban Decay Cosmetics',$12.00,0,4.30
'8H Hi-Fi Sculpt &amp; Shimmer Palette','Morphe',$25.00,0,4.30
'Studio Secrets Magic Lumi Light Infusing Primer','L'Oréal',$12.99,0,4.10
'Mineral Blush','BECCA',$32.00,2,4.70
'FaceStudio Master Fix Wear Boosting Setting Spray','Maybelline',$12.99,0,3.60
'DayDream Mineral Primer SPF30','Coola',$42.00,0,4.70
'The Illuminator Radiant Perfecting Primer + Finisher','Estée Lauder',$38.00,0,4.30
'Beverly Hills Highlighter','Ofra Cosmetics',$32.00,0,4.60
'Rebound Collagen-Infused Complexion Prep Priming Spray','Urban Decay Cosmetics',$32.00,0,4.30
'Online Only Dream Tint Tinted Moisturizer','jane iredale',$44.00,7,5.00
'PRO Conceal/Contour Palette and Brush','LORAC',$45.00,0,3.70
'Online Only Goodness Glows Liquid Foundation','Burt's Bees',$10.19,17,3.50
'Hydrating Booster Drops','e.l.f. Cosmetics',$10.00,0,4.30
'The POREfessional: Pearl Primer Mini','Benefit Cosmetics',$13.00,0,3.80
'Online Only Jelly Blusher','Too Cool For School',$20.00,3,3.30
'BH Liquid Foundation - Naturally Flawless','BH Cosmetics',$9.50,24,3.50
'Online Only Take It Away Makeup Remover Lotion','Estée Lauder',$30.00,0,4.70
'Travel Size Makeup Remover Towlettes','Neutrogena',$1.99,0,4.60
'The Present','Philosophy',$30.00,0,4.30
'Brightening Cover Watery Cushion Foundation SPF 50','Mamonde',$36.00,0,4.70
'Online Only Perfect Selfie HD Photo Finishing Powder','Wunder2',$13.20,0,3.50
'Naked Skin One &amp; Done Blur On The Run','Urban Decay Cosmetics',$34.00,0,2.60
'3C Conceal Correct Contour Palette','NYX Professional Makeup',$12.00,3,3.60
'8S Stellar Impact Highlighter Palette','Morphe',$22.00,0,4.20
'Prime &amp; Fine Pore Refining Anti-Shine Base','Catrice',$7.99,0,4.00
'Infallible Makeup Extender Setting Spray','L'Oréal',$16.99,0,3.80
'Online Only 100% Natural All Aglow Lip &amp; Cheek Stick','Burt's Bees',$7.79,5,5.00
'Travel Size Take the Day Off Micellar Cleansing Towelettes for Face &amp; Eyes','Clinique',$4.50,0,3.60
'PHYTO-PIGMENTS Youth Cream Compact Foundation','Juice Beauty',$45.00,5,4.10
'Online Only Drop Shot Mix-In Facial Oil','Urban Decay Cosmetics',$34.00,0,4.90
'Travel Size Pores No More Pore Refiner Primer','Dr. Brandt',$22.00,0,4.10
'Paradise Enchanted Fruit-Scented Blush','L'Oréal',$12.99,4,4.30
'Online Only Makeup Remover Cleansing Cloths 2 Pack','e.l.f. Cosmetics',$5.00,0,3.40
'Cherry Matte Mattifying Primer','Pacifica',$13.00,0,3.90
'&#39;That Gal&#39; Brightening Face Primer','Benefit Cosmetics',$29.00,0,4.40
'Studio Finishing Powder Translucent Finish','NYX Professional Makeup',$10.00,0,3.20
'True Match Super Blendable Concealer','L'Oréal',$9.99,8,4.10
'Combo Control Milky Face Primer','BareMinerals',$26.00,0,3.80
'True Match Lumi Glow Amour Glow Boosting Drops','L'Oréal',$14.99,2,3.70
'Sun Wash Diffusing Bronzer','NARS',$40.00,2,4.00
'Prime And Fine Anti-Shine Fixing Spray - Matt Finish','Catrice',$4.79,0,4.10
'Skin Perfecting Powder After Glow','PÜR',$26.00,0,4.80
'Online Only Love Shook Highlighting Palette','Sleek MakeUP',$7.50,0,3.50
'Travel Size Step-By-Step Contour Palette','Smashbox',$24.00,0,4.30
'Water Cloud Primer + Pollution &amp; Blue Light Defense','COVER FX',$38.00,0,4.40
'Online Only Make It Last Setting Powder','Milani',$10.99,4,3.90
'Meltdown Makeup Remover Dissolving Spray','Urban Decay Cosmetics',$26.00,0,4.20
'MegaJelly Face Primer','Wet n Wild',$7.99,0,4.00
'3D Glow Highlighter','Catrice',$6.99,3,5.00
'ColorStay Full Cover Foundation','Revlon',$8.39,12,4.10
'Lingerie Soufflé Skin Perfecting Primer','Stila',$36.00,2,3.90
'Bronze and Glow Mini Duo','I Heart Revolution',$7.00,0,4.20
'Skin To Die For Mineral-Matte CC Cream Broad Spectrum SPF 30','Peter Thomas Roth',$38.00,3,3.60
'Super BB All-In-1 Beauty Balm Cream','Physicians Formula',$14.99 - $15.99,2,4.00
'MegaJelly Highlighter','Wet n Wild',$7.99,0,4.90
'Show Some Skin Weightless Foundation Broad Spectrum SPF 30','Buxom',$34.00,0,4.30
'Correct and Perfect All-In-One Color Correcting Palette','Stila',$45.00,0,4.60
'Hyaluronic Fixing Spray','Makeup Revolution',$9.00,0,3.40
'Color Source Buildable Blush','LORAC',$23.00,9,4.50
'Anti-Aging Face Primer','Amazing Cosmetics',$34.00,0,4.70
'Shimmering Skin Perfector Luminous Blush','BECCA',$34.00,4,4.60
'Pro Face Matte Pressed Powder','L.A. Girl',$6.99,6,3.90
'SuperStay Multi-Use Foundation Stick','Maybelline',$11.99,16,3.40
'Liquid Makeup Remover','Cetaphil',$10.99,0,4.40
'Love Stoned Natural Mineral Face Palette','Pacifica',$21.00,0,5.00
'Blotting Paper 50 Ct','NYX Professional Makeup',$4.00,0,3.90
'Infallible Pro Glow Concealer','L'Oréal',$9.99,8,3.40
'Hydra Touch Oil Primer','NYX Professional Makeup',$14.00,0,3.90
'Multi-Colored Pressed Powder','Physicians Formula',$14.99,3,4.40
'Facial Cleansing Towelettes with White Tea Extract','Burt's Bees',$5.99,0,4.40
'Mineral Illuminating Setting Powder','ULTA',$14.00,0,5.00
'GALifornia Mini Sunny Golden Pink Blush Mini','Benefit Cosmetics',$16.00,0,4.70
'Smart Shade Skintone Matching Makeup','Almay',$8.39,6,3.70
'All About Matt! Fixing Compact Powder','Essence',$3.99,0,4.20
'Online Only Vitalist Healthy Powder','CoverGirl',$11.99,4,3.90
'Photo Finish Protect SPF 20 Primer','Smashbox',$42.00,0,4.30
'Online Only Mattifying Powder Foundation','Burt's Bees',$10.19,6,4.20
'Gold Rush Blush Mini','Benefit Cosmetics',$16.00,0,4.40
'Vitality Cheek Flush Powder Blush Stain','It Cosmetics',$24.00,0,4.10
'Dandelion Twinkle Nude-Pink Powder Highlighter &amp; Luminizer','Benefit Cosmetics',$30.00,0,4.40
'They&#39;re Real! Eye Makeup Remover','Benefit Cosmetics',$18.00,0,3.80
'Pore Perfect Instant Blur Stick + Multi-tasking Foundation','FLOWER Beauty',$14.99,10,3.90
'Mini Bronzer in Debutante','Morphe',$7.00,0,4.00
'Dose Of Colors x iluvsarahii Highlighter','Dose Of Colors',$28.00,0,4.60
'PORE-LESS Blur And Matte Stick','My Clarins',$19.00,0,5.00
'Limited Edition Shimmering Skin Perfector Pressed','BECCA',$38.00,0,4.70
'Sun Club Matt Bronzing Powder','Essence',$4.99,2,4.40
'Born to Glow Liquid Illuminator','NYX Professional Makeup',$7.50,4,4.00
'Fragrance-Free Wipes Twin Pack','Neutrogena',$12.49,0,4.60
'Diffuse Redness Balancing Primer','SMITH & CULT',$32.00,0,4.30
'Ultra Cream Contour Palette','Makeup Revolution',$10.00,0,3.50
'Rose Water Micellar Cleansing Tonic','Pacifica',$12.00,0,NA
'Online Only Stellar Lights Highlighter Palette','Milani',$12.99,2,5.00
'Infallible Pro Sweep &amp; Lock Loose Powder','L'Oréal',$9.99,0,4.10
'FaceStudio Master Blur Stick Primer','Maybelline',$9.99,3,4.10
'Tarteist PRO Glow Liquid Highlighter','Tarte',$29.00,3,3.10
'ColorStay Pressed Powder','Revlon',$5.99,4,4.10
'Rebel Rose Color Icon Cream Blush','Wet n Wild',$4.99,0,3.40
'Redness Solutions Daily Protective Base SPF 15','Clinique',$24.00,0,3.40
'Stay-Matte Invisible Blotting Powder','Clinique',$27.00,0,4.20
'On-The-Go Prep Set','MAC',$35.00,0,5.00
'Contouring Blush &amp; Bronzing Powder','e.l.f. Cosmetics',$4.00,2,4.10
'Chocolate Elixir Glow Palette','I Heart Revolution',$7.00,0,5.00
'Facial Cleansing Towelettes Pink Grapefruit','Burt's Bees',$5.99,0,4.30
'Filter First Luminous Concealer','Laura Geller',$12.00,4,3.30
'Posietint Cheek &amp; Lip Stain','Benefit Cosmetics',$30.00,0,4.30
'BB Cream with SPF 15','Burt's Bees',$8.99,3,3.80
'Crystal Rays Luminous Setting Powder','Pacifica',$12.00,0,4.10
'Online Only Re-Dew Set &amp; Refresh Spray','beautyblender',$30.00,0,4.30
'#NoFilter Blurring Primer','NYX Professional Makeup',$15.00,0,4.20
'Miel-En-Mousse Foaming Face Cleanser &amp; Makeup Remover','Lancôme',$40.00,0,4.70
'Alighten Natural Radiance Powders Palette','Pacifica',$18.00,0,4.60
'Online Only Softwear Blush Soft Matte','Lime Crime',$22.00,12,NA
'Pro Prep HD Face Primer','L.A. Girl',$5.99,0,3.90
'Blush and Glow Blush and Highlighter','Tarte',$30.00,2,4.10
'FaceStudio Master Prime Blur + Redness Control Primer','Maybelline',$9.99,0,3.30
'Online Only Nikkietutorials Space Baby Highlighter','Ofra Cosmetics',$29.00,0,5.00
'Hello Light Anti-Aging Crème Illuminizer','It Cosmetics',$24.00,0,4.10
'Quick Fix Color-Correcting Powder Pigments','Dermablend',$33.00,3,4.20
'Prep &amp; Hydrate Primer','Lancôme',$35.00,0,4.30
'Travel Size Quick Fix Hydra-Charged Complexion Prep Priming Spray','Urban Decay Cosmetics',$15.00,0,4.20
'UncompliKated SPF Soft Focus Makeup Setting Spray Broad Spectrum SPF 50 Sunscreen','Kate Somerville',$38.00,0,4.20
'FaceStudio Master Contour','Maybelline',$12.99,2,4.00
'Color Correcting Liquid Primer','NYX Professional Makeup',$14.00,5,3.80
'Makeup Setting Spray Mini - Matte','NYX Professional Makeup',$3.50,0,5.00
'Hydrating Micellar Cleansing Water','CeraVe',$12.99,0,3.10
'Online Only On The Glow Highlighting Palette','Ofra Cosmetics',$110.00,0,4.40
'Online Only Studio Pro Contour Palette','BH Cosmetics',$15.00,0,4.10
'Star Bronzer Long Lasting Bronzing Powder','Lancôme',$38.00,3,4.40
'Milk &amp; Honey Highlighting Palette','Beauty Bakerie',$38.00,0,4.30
'Solstice Highlighting Palette','Sleek MakeUP',$7.50,0,4.60
'Online Only Skin Illusion Natural Hydrating Foundation','Clarins',$44.00,22,3.40
'Kick Ass All Day Wear Foundation','Soap & Glory',$16.00,12,4.60
'Nude Wear Touch Of Glow Foundation','Physicians Formula',$15.99,2,3.80
'Online Only Studio Fix Perfecting Stick','MAC',$22.00,12,4.20
'Coffee &amp; Cocoa Bronzer Palette','Beauty Bakerie',$38.00,0,4.70
'Compact Setting Powder','Dermablend',$29.00,0,4.30
'Perfect Pressed Powder','COVER FX',$32.00,0,4.10
'PRO Blurring Translucent Pressed Powder','LORAC',$32.00,0,4.70
'Makeup Remover and Cleansing Cloths for Face','CeraVe',$9.99,0,3.00
'Cherry Matte Setting Spray','Pacifica',$10.00,0,3.30
'California In A Box Bronzer &amp; Blush Palette','Catrice',$14.99,0,5.00
'Neutralizing Mattifier Soft Focus Translucent Powder','Pacifica',$12.00,2,4.10
'Water Drench Cloud Cream Cleanser','Peter Thomas Roth',$28.00,0,3.90
'Sensitive Facial Cleansing Towelettes with Cotton Extract','Burt's Bees',$5.99,0,4.40
'BECCA x Khloé Kardashian &amp; Malika Haqq Glow Letters','BECCA',$18.00,0,2.40
'Online Only Travel Size Shimmering Skin Perfector','BECCA',$19.00,2,4.30
'Flash Flush Cream Blush','SMITH & CULT',$24.00,4,5.00
'SkinActive Miracle Skin Perfector BB Cream Anti-Aging','Garnier',$12.99,0,3.80
'Cucumbers Cooling Hydrating Primer Stick','Yes to',$9.99,0,4.80
'HD Lifting Concealer','e.l.f. Cosmetics',$3.00,3,3.50
'Instant Smooth Perfecting Touch','Clarins',$39.00,0,4.30
'Online Only Prime &amp; Stay Finishing Powder','e.l.f. Cosmetics',$2.00,3,4.20
'Prime+Studio Mattifying Primer','Essence',$4.99,0,4.30
'Prep &amp; Matte Primer','Lancôme',$35.00,0,4.10
'Cotton Candy Champagne Blush Palette','Beauty Bakerie',$38.00,0,3.90
'PHYTO-PIGMENTS Flawless Finishing Powder','Juice Beauty',$28.00,0,4.00
'Can&#39;t Stop Won&#39;t Stop Matte Primer','NYX Professional Makeup',$14.00,0,2.90
'PhotoReady Rose Glow Hydrating + Illuminating Primer','Revlon',$8.39,0,3.90
'Hyper Real Glow Palette: Get It Glowin&#39;','MAC',$39.50,0,5.00
'Infallible Pro Matte Lock Primer','L'Oréal',$12.99,0,3.30
'Coconut Mini Melt','Kopari Beauty',$18.00,0,4.60
'Next To Nothing Face Colour','MAC',$31.00,6,3.80
'Sunkissed Booster Drops','e.l.f. Cosmetics',$10.00,0,4.20
'Baked Highlighter','e.l.f. Cosmetics',$4.00,3,3.30
'Kind To Skin Cleansing Facial Wipes','Simple',$5.99,0,4.50
'Charcoal Facial Wipes','ULTA',$6.00,0,3.00
'Travel Size Take The Day Off Makeup Remover','Clinique',$9.50,0,4.60
'Gogotint Cheek  &amp; Lip Stain Mini','Benefit Cosmetics',$12.00,0,4.40
'Shine Killer','NYX Professional Makeup',$14.00,0,3.40
'SkinActive Miracle Skin Perfector BB Cream Oily/Combo Skin','Garnier',$12.99,0,4.00
'Online Only Luminous Blush','e.l.f. Cosmetics',$6.00,2,4.50
'Online Only OFRA x Francesca Tolot Gilded Face Palette','Ofra Cosmetics',$49.00,0,5.00
'Studio Waterweight Concealer','MAC',$24.00,16,3.80
'Photo Focus Face Primer','Wet n Wild',$4.99,0,3.70
'Online Only Make Up Fixer Spray','Ofra Cosmetics',$16.00,0,4.40
'DD Cream Dermatologically Defining BB Cream Broad Spectrum SPF 30','Dermadoctor',$40.00,0,4.00
'Clear Complexion Make Myself Clear Makeup','Almay',$8.99,14,4.10
'Beautifully Bare Finishing Powder','e.l.f. Cosmetics',$6.00,3,4.10
'Online Only HD Picture Perfect Liquid Foundation','Cargo',$9.00,0,3.60
'Radiant Results Revitalising Cleansing Wipes','No7',$6.99,0,4.50
'Line Smoother + Primer with Neodermyl','Amazing Cosmetics',$35.00,0,4.60
'Illuminating Mist &amp; Set','e.l.f. Cosmetics',$4.00,2,4.00
'Online Only PurePressed Blush','jane iredale',$30.00,4,2.00
'First Base Primer Spray','NYX Professional Makeup',$8.00,0,4.20
'Dewy Finish Setting Spray','COVER FX',$31.00,0,3.80
'Chromatic Bronze Highlight and Contour Palette','L'Oréal',$14.99,0,4.60
'Blotterazzi Pro','beautyblender',$10.00,0,5.00
'Concealer Pencil','NUDESTIX',$26.00,8,4.40
'Blackdrop Charcoal Brightening Primer','SMITH & CULT',$32.00,0,4.40
'DD Eye Dermatologically Defining Eye Radiance Cream SPF 30','Dermadoctor',$28.00,0,5.00
'Wipe Your Face Off Make-Up Removing Facial Wipes','Formula 10.0.6',$4.19,0,4.10
'So Icy &#39;&#39;Mini&#39;&#39; Illuminator','Beauty Bakerie',$16.00,3,3.80
'True Match Super-Blendable Crayon Concealer','L'Oréal',$9.99,5,3.90
'Micellar Make-Up Remover Wipes','Simple',$7.99,0,4.50
'Makeup Melt Jelly Cleanser','Bliss',$9.00,0,4.10
'Mineral Wear Loose Powder SPF 16','Physicians Formula',$14.99,5,3.90
'Makeup Remover Cleansing Towelettes - Night Calming','Neutrogena',$7.99,0,4.50
'Baking Oil','Makeup Revolution',$9.00,0,4.30
'Illuminating Loose Powder','NARS',$28.00,0,4.50
'Magic Skin Beautifier BB Cream Anti-Redness','L'Oréal',$10.99,0,3.30
'Mineral Wear Talc-Free Mineral Correcting Powder','Physicians Formula',$14.99,0,4.10
'Gently Off Eye and Lip Makeup Remover','MAC',$22.00,0,3.80
'Velvet Luxe Soft Focus Sculpting Brush #315','IT Brushes For ULTA',$34.00,0,4.60
'Sun Beam Golden Bronze Liquid Highlighter','Benefit Cosmetics',$26.00,0,4.10
'Photo Focus Setting Spray','Wet n Wild',$4.99,0,3.60
'Travel Size Hydrating Face Primer','ULTA',$8.50,0,4.40
'Strobelight Instant Glow Powder','Milani',$9.99,2,4.70
'Super CC Correct + Conceal + Cover Cream SPF 30','Physicians Formula',$15.99,0,4.00
'Active Neutralizing Banana Powder','ULTA',$10.00,0,1.30
'Superprimer Colour Corrects Redness','Clinique',$29.00,0,3.50
'Online Only Nikkietutorials Glow Goals Highlighter','Ofra Cosmetics',$29.00,0,4.80
'Online Only Photo Focus Pressed Powder','Wet n Wild',$4.99,8,3.20
'Light Correcting Serum Primer','Catrice',$10.99,0,4.40
'Online Only CG Smoothers Concealer','CoverGirl',$7.99,3,4.30
'Kick Ass Instant Retouch Pressed Powder','Soap & Glory',$16.00,0,4.50
'Studio Perfect Primer in Green','NYX Professional Makeup',$13.00,0,3.30
'Skin Love Glow Glaze Stick','BECCA',$28.00,0,4.30
'Stay Flawless 15-Hour Primer','Benefit Cosmetics',$32.00,0,3.30
'Luminoso Glow Shimmering Face Palette','Milani',$17.99,0,3.80
'Online Only Mattifying Gel Primer','IPKN',$28.00,0,2.30
'Online Only Pressed Banana Powder Compact','Ofra Cosmetics',$12.00,0,4.60
'SOS Primer','Clarins',$39.00,4,4.60
'GALifornia Sunny Golden-Pink Powder Blush','Benefit Cosmetics',$30.00,0,4.50
'BAREPRO Glow Highlighter','BareMinerals',$28.00,4,4.20
'Vivid Baked Bronzer','Makeup Revolution',$6.00,3,4.20
'Online Only Nikkietutorials Everglow Highlighter','Ofra Cosmetics',$29.00,0,4.80
'Organic Wear 100% Natural Origin CC Cream SPF 20','Physicians Formula',$15.99,2,4.10
'NARSissist Cheek Studio Palette','NARS',$55.00,0,4.00
'Online Only Bronzer Palette','e.l.f. Cosmetics',$6.00,2,4.10
'PhotoReady Candid Antioxidant Concealer','Revlon',$5.99,15,4.50
'Prime &amp; Fine Makeup Transformer Drops','Catrice',$7.99,2,4.20
'Translucent Setting Powder','PÜR',$30.00,0,4.00
'Simply Ageless Anti-Aging Foundation Primer','CoverGirl',$14.99,0,4.30
'Sun-Kissed Face Gelee Complexion Multitasker','Clinique',$29.00,0,4.30
'Complexionista Mini Contour Palette','Benefit Cosmetics',$32.00,0,4.50
'Online Only Active Light Under-Eye Concealer','jane iredale',$30.00,6,0.00
'Micellar Water Towelettes','Burt's Bees',$5.99,0,3.40
'Blushed Babe Blush Palette','L.A. Girl',$10.99,0,4.80
'Wipes Mini MAC','MAC',$14.00,0,4.70
'Online Only 100% Natural All Aglow Bronzer Stick','Burt's Bees',$7.79,2,5.00
'Online Only Blush','e.l.f. Cosmetics',$3.00,2,4.50
'Studio Pro Total Coverage Concealer','BH Cosmetics',$6.00,18,4.20
'Born to Glow Highlighting Palette','NYX Professional Makeup',$25.00,0,4.80
'Online Only Smooth Affair Facial Primer &amp; Brightener','jane iredale',$50.00,0,5.00
'Mineral Face Powder','Physicians Formula',$14.99,0,4.40
'TruBlend Face Primer','CoverGirl',$11.49,0,4.70
'Prep &amp; Blur Face Primer Stick','e.l.f. Cosmetics',$8.00,0,3.00
'Kale Water Micellar Makeup Remover','Pacifica',$12.00,0,4.20
'Tutti Frutti - Fresh Squeezed Highlighting Drops','Too Faced',$30.00,2,3.30
'Make It Dewy Setting Spray Hydrate + Illuminate + Set','Milani',$9.99,0,3.40
'Flash Flush Powder Blush','SMITH & CULT',$24.00,4,3.70
'Airbrush Away Original Primer','No7',$19.99,0,4.20
'Online Only Heart Beat / Cheek Color','PYT Beauty',$14.30,3,4.50
'High Beam Satiny-Pink Liquid Highlighter Mini','Benefit Cosmetics',$12.00,0,4.00
'Pro Setting Powder','L.A. Girl',$5.99,2,2.70
'Clear Complexion Concealer','Almay',$5.39,5,4.20
'Cream Contour Palette','e.l.f. Cosmetics',$6.00,0,4.10
'Online Only Travel Size Backlight Priming Filter','BECCA',$21.00,0,4.50
'Online Only Color Corrector Quad Spectrum Palette','J.Cat Beauty',$5.99,0,4.30
'Online Only Rockin&#39; The Night Sparkling Powder','J.Cat Beauty',$3.49,24,4.70
'No Makeup Foundation Broad Spectrum SPF 20','Perricone MD',$60.00,8,0.00
'Deux Of A Kind Super Shock Highlighter Duo','ColourPop',$14.00,0,4.80
'Online Only Clean Makeup, Normal Skin','CoverGirl',$7.49,12,3.50
'Uplighting Illuminating Powder','Clinique',$27.00,3,5.00
'Magnetic Nude Glimmer','NUDESTIX',$28.00,3,3.70
'Pigment Primer','NYX Professional Makeup',$6.50,0,3.60
'Blushious Coconut &amp; Rose Infused Cheek Color','Pacifica',$12.00,2,4.70
'Spotlight Palette','Smashbox',$35.00,2,4.20
'Instant Poreless','Clarins',$30.00,0,5.00
'TANtalizer Buildable Bronzing Powder','LORAC',$32.00,5,4.60
'Pro Prep HD Color Correcting Face Primer','L.A. Girl',$6.99,5,3.80
'Camouflage Cream Anti-Red','Catrice',$5.99,0,4.30
'Deep Clean Makeup Remover Wipes','Neutrogena',$7.99,0,3.80
'Pro Contour Brush','NYX Professional Makeup',$14.00,0,4.50
'Travel Size Precleanse Balm','Dermalogica',$15.00,0,4.50
'Skin Perfecting Powder Mineral Glow','PÜR',$26.00,0,5.00
'Facial Cleansing Towelettes Peach and Willow Bark','Burt's Bees',$5.99,0,4.50
'Studio Secrets Magic Lumi Highlighter','L'Oréal',$12.99,4,4.00
'Dewdreamer Illuminating Drops','Laura Geller',$16.00,3,2.90
'The Real Deal Concealer','Laura Geller',$11.00,0,4.20
'Online Only Cheekers Blush','CoverGirl',$4.99,9,4.10
'SkinActive Micellar Cleansing Water All-in-1 Mattifying','Garnier',$6.74,0,4.30
'HD Pro Setting Finish Spray','L.A. Girl',$5.99,0,4.20
'Freshface Micellar Cleansing Water','ULTA',$2.25,0,3.70
'Mineral Stick Foundation','NYX Professional Makeup',$10.00,0,4.00
'Moisture Lock Primer','e.l.f. Cosmetics',$8.00,0,4.30
'Online Only Perfect Skin Illuminator','Fountain of Truth',$50.00,3,NA
'Studio Pro Shade &amp; Define - 10 Color Contour Palette','BH Cosmetics',$12.00,0,5.00
'Online Only Color Icon Ombre Blush','Wet n Wild',$4.99,3,3.10
'Smashbox + Vlada Photo Finish Petal Metal Primer','Smashbox',$39.00,0,4.10
'Pro Fix Fixing Spray','Makeup Revolution',$8.00,0,4.10
'Eye Makeup Remover Pads','Burt's Bees',$5.99,0,4.00
'In Monochrome Powder Blush','MAC',$24.00,0,4.50
'Green Tea Blotting Linens','boscia',$10.00,0,3.00
'Online Only To Reflect Shimmer Palette','Wet n Wild',$5.99,3,4.90
'Flesh To Flesh Highlighting Powder','Flesh',$28.00,6,4.20
'Bronze Booster Highlight + Contour Palette','Physicians Formula',$15.99,2,4.10
'Cool As A Cucumber Primer','Ofra Cosmetics',$18.00,0,4.80
'Coconut Milk Eye Makeup Remover','Physicians Formula',$6.49,0,4.30
'Ultimate Coverage Longwear Concealer','BECCA',$29.00,16,4.20
'Star Bronzer Magic Bronzing Brush for Face and Body','Lancôme',$37.00,0,3.90
'SkinActive Micellar Waterproof Makeup Removing Towelettes','Garnier',$5.24,0,4.10
