product name,brand,price,number of colors,rating
'Naked Skin Weightless Complete Coverage Concealer','Urban Decay',$12.00 - $29.00,15,4
'BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen','tarte',$14.00 - $37.00,4,4.5
'Ambient® Lighting Powder','Hourglass',$24.00 - $48.00,8,4.5
'Skintune Blur Perfecting Primer Serum','FARSÁLI',$22.00 - $54.00,0,4
'Premium Beauty Balm SPF 45','Dr. Jart+',$39.00,2,4
'Ultra HD Invisible Cover Stick Foundation','MAKE UP FOR EVER',$43.00,19,4
'All Hours Longwear Natural Matte Foundation','Yves Saint Laurent',$54.00,32,4.5
'All Nighter Setting Spray & Eyeshadow Primer Set','Urban Decay',$25.00,0,5
'Matte Velvet Skin Full Coverage Foundation','MAKE UP FOR EVER',$38.00,39,3.5
'All Day Luminous Weightless Foundation','NARS',$49.00,19,3.5
'Full Cover Concealer','MAKE UP FOR EVER',$34.00,11,4.5
'Hangover Replenishing Face Primer','Too Faced',$16.00 - $34.00,0,4
'BarePRO™ Performance Wear Liquid Foundation Broad Spectrum SPF 20','bareMinerals',$34.00,28,4.5
'Lock-It Concealer Crème','Kat Von D',$27.00,20,4.5
'Peach Perfect Mattifying Setting Powder – Peaches and Cream Collection','Too Faced',$33.00,1,4.5
'Studio Skin 15 Hour Hydrating Foundation','Smashbox',$36.00,39,4
'Beauty Elixir','Caudalie',$18.00 - $49.00,0,4.5
'The Multiple','NARS',$39.00,6,4.5
'Touche Eclat All-Over Brightening Pen','Yves Saint Laurent',$35.00,13,4.5
'DUAL FINISH – Multi-tasking Longwear Powder Foundation','Lancôme',$40.00,31,4.5
'Hello FAB Coconut Skin Smoothie Priming Moisturizer','First Aid Beauty',$14.00 - $28.00,0,4
'Pressed Mineral Foundation','COVER FX',$38.00,38,4
'Light Reflecting Pressed Setting Powder','NARS',$37.00,0,4
'Even Better Makeup Broad Spectrum SPF 15','CLINIQUE',$29.00,55,4
'CC Cream Daily Correct Broad Spectrum SPF 35+ Sunscreen','Supergoop!',$34.00,3,4.5
'Camera Ready BB Cream SPF 35','Smashbox',$42.00,7,4
'Bounce™ Liquid Whip Long Wear Foundation','beautyblender',$40.00,39,4
'Under Eye Brightening Corrector','BECCA',$32.00,1,4
'The Soft Fluid Long Wear Foundation SPF 20','La Mer',$120.00,19,4
'De-Slick Oil-Control Makeup Setting Spray','Urban Decay',$15.00 - $32.00,0,4
'Bright Future Gel Serum Concealer','SEPHORA COLLECTION',$14.00,19,4
'HALO Hydrating Perfecting Powder','Smashbox',$49.00,6,4.5
'pores no more® pore refiner primer','Dr. Brandt Skincare',$22.00 - $45.00,0,4.5
'COMPLEXION RESCUE Hydrating Foundation Stick Broad Spectrum SPF 25','bareMinerals',$32.00,19,4.5
'Flawless Fusion Ultra-Longwear Foundation','Laura Mercier',$48.00,29,4
'Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen','tarte',$36.00,5,4.5
'Natural Lust Satin Bronzer','Too Faced',$34.00,0,5
'Total Cover Cream Foundation','COVER FX',$42.00,39,4
'Flawless Fusion Ultra Longwear Concealer','Laura Mercier',$29.00,11,4.5
'MicroSmooth Baked Foundation Face Powder','SEPHORA COLLECTION',$22.00,7,4.5
'Step 1 Skin Equalizer Primer','MAKE UP FOR EVER',$17.00 - $37.00,12,3.5
'Secret Brightening Powder for Under Eyes','Laura Mercier',$28.00,1,4
'Immaculate® Liquid Powder Foundation Mattifying Oil Free','Hourglass',$56.00,21,4
'BECCA x Khloé Kardashian & Malika Haqq Bronze, Blush & Glow Palette','BECCA',$44.00,1,4
'Un Cover-Up Concealer/Foundation','rms beauty',$36.00,15,4
'Naked Skin Color Correcting Fluid','Urban Decay',$29.00,3,4
'Power Play Foundation','COVER FX',$44.00,39,4
'BB Cushion Hydra Radiance SPF 50','LANEIGE',$38.00,5,4.5
'Bomb Baby Mini Lip and Face Set','FENTY BEAUTY by Rihanna',$23.00,0,5
'Re(marc)able Full Cover Foundation Concentrate','Marc Jacobs Beauty',$55.00,21,3.5
'Touche Eclat Le Teint Radiance Awakening Foundation','Yves Saint Laurent',$54.00,29,3.5
'Shade + Light Face Contour Refillable Palette','Kat Von D',$49.00,0,4.5
'Bye Bye Redness™ Neutralizing Correcting Cream','IT Cosmetics',$32.00,2,4
'The Overachiever High Coverage Concealer','HUDA BEAUTY',$30.00,19,4
'Ultra HD Microfinishing Loose Powder','MAKE UP FOR EVER',$20.00 - $36.00,0,3.5
'Bloom Blush & Glow Palette','Natasha Denona',$55.00,0,4.5
'Ultra HD Self-Setting Concealer','MAKE UP FOR EVER',$28.00,21,4.5
'Touche Eclat Blur Primer','Yves Saint Laurent',$52.00,0,4.5
'All Nighter Liquid Foundation','Urban Decay',$40.00,22,3.5
'Amazonian Clay Full Coverage Airbrush Foundation','tarte',$36.00,11,4
'Diorskin Forever Undercover Foundation','Dior',$52.00,24,4
'Skin Foundation SPF 15','Bobbi Brown',$50.00,29,4
'Color Control Cushion Compact Broad Spectrum SPF 50+','AMOREPACIFIC',$15.00 - $60.00,6,4
'Colorful Face Powders – Blush, Bronze, Highlight, & Contour','SEPHORA COLLECTION',$14.00,16,4.5
'Primed & Poreless Skin Smoothing Face Primer','Too Faced',$30.00,0,4.5
'Ambient® Lighting Palette','Hourglass',$64.00,0,4.5
'’Hello Flawless!’ Powder Foundation','Benefit Cosmetics',$34.00,7,4.5
'Under Eye Corrector','Bobbi Brown',$28.00,12,4.5
'Blemish Rescue Skin-Clearing Loose Powder Foundation – For Acne Prone Skin','bareMinerals',$29.00,19,4.5
'Acne Solutions BB Cream Broad Spectrum SPF 40','CLINIQUE',$39.00,4,4
'Foundation Primer - Hydrating','Laura Mercier',$38.00,0,4.5
'Hollywood Beauty Highlighter Wand','Charlotte Tilbury',$38.00,0,4.5
'100% Mineral Smooth & Poreless Matte Screen SPF 40','Supergoop!',$38.00,0,4
'Killawatt Foil Freestyle Highlighter Palette','FENTY BEAUTY by Rihanna',$54.00,0,4.5
'Loose Highlighter','Anastasia Beverly Hills',$25.00,2,4.5
'Stay-Matte Sheer Pressed Powder','CLINIQUE',$27.00,14,4.5
'Invisimatte Blotting Powder','FENTY BEAUTY by Rihanna',$32.00,0,4.5
'Filmstar Bronze & Glow Contour Duo','Charlotte Tilbury',$68.00,1,4.5
'Skin Foundation Stick','Bobbi Brown',$46.00,29,4
'Ultra HD Microfinishing Pressed Powder','MAKE UP FOR EVER',$23.00 - $37.00,4,4
'Jet, Set, Glow! Prep & Prime Kit','BECCA',$25.00,0,4.5
'Blur Liquid Matte Foundation','MILK MAKEUP',$40.00,23,4
'Bye Bye Under Eye Illumination™ Full Coverage Anti-Aging Waterproof Concealer','IT Cosmetics',$26.00,11,4
'Glow For It','Sephora Favorites',$28.00,0,4.5
'Lock-It Setting Powder','Kat Von D',$16.00 - $31.00,0,4.5
'Perfect Setting Powder','COVER FX',$14.00 - $35.00,3,4.5
'Bye Bye Pores Pressed™ Poreless Finish Airbrush Pressed Powder','IT Cosmetics',$29.00,0,4
'TOUCHE ECLAT All-In-One Glow','Yves Saint Laurent',$48.00,11,4.5
'One Step Correct','stila',$36.00,0,4
'The Sensual Skin Enhancer Concealer','KEVYN AUCOIN',$48.00,15,4
'The Sculpting Contour Powder','KEVYN AUCOIN',$44.00,2,4.5
'Natural Finish Foundation','COVER FX',$42.00,39,3.5
'Hangover 3-in-1 Replenishing Primer & Setting Spray','Too Faced',$15.00 - $32.00,0,4.5
'Essential High Coverage Liquid Concealer','Jouer Cosmetics',$22.00,24,4
'Teint Idole Ultra Longwear Foundation Stick SPF 21','Lancôme',$43.00,29,4.5
'Illusion® Hyaluronic Skin Tint','Hourglass',$56.00,11,4
'Skin Long-Wear Weightless Foundation SPF 15','Bobbi Brown',$46.00,41,4
'Dior Forever 24h* Wear High Perfection Skin-Caring Matte Foundation','Dior',$52.00,27,4.5
'Beyond Perfecting Foundation + Concealer','CLINIQUE',$29.00,26,3.5
'Light Wonder Foundation','Charlotte Tilbury',$46.00,9,4
'Instant Look Eyeshadow & Face Palette','Charlotte Tilbury',$75.00,0,4.5
'BARESKIN® Complete Coverage Serum Concealer','bareMinerals',$22.00,5,4
'Foundation Primer - Radiance','Laura Mercier',$22.00 - $38.00,0,4
'BAREPRO® 16-Hr Full Coverage Concealer','bareMinerals',$24.00,14,4.5
'Superpowder Double Face Makeup','CLINIQUE',$27.00,5,4.5
'Studio Skin Flawless 24 Hour Concealer','Smashbox',$24.00,29,4.5
'Accomplice Concealer & Touch-Up Stick','Marc Jacobs Beauty',$32.00,16,4.5
'Prime Time™ Foundation Primer','bareMinerals',$25.00,0,4.5
'Double Wear Stay-in-Place Matte Powder Foundation','Estée Lauder',$42.00,40,4
'Power Play Concealer','COVER FX',$30.00,29,4.5
'All-Over Face Color','bareMinerals',$22.00,4,4.5
'Mist & Fix Setting Spray','MAKE UP FOR EVER',$14.00 - $30.00,0,4
'Glass Glow Face Liquid Highlighter','KEVYN AUCOIN',$32.00,2,No
'Mineral Powder','Laura Mercier',$42.00,3,4.5
'Silk Crème Oil Free Photo Edition Foundation','Laura Mercier',$48.00,15,4
'Sugar Glow Kit','Anastasia Beverly Hills',$40.00,0,4.5
'Ultimate Coverage 24 Hour Foundation','BECCA',$44.00,23,4
'Sunshine Skin Tint SPF 30','MILK MAKEUP',$42.00,7,4
'True Skin Serum Foundation','ILIA',$54.00,17,4
'Step-By-Step Contour Kit','Smashbox',$35.00,0,4
'Aquacealer Concealer - Rainforest of the Sea™ Collection','tarte',$26.00,11,4
'Timeless Smoothing Primer','tarte',$39.00,0,4
'Amazonian Clay Waterproof 12-Hour Concealer','tarte',$25.00,9,4
'Bright Future Skin Tint Broad Spectrum SPF 25','SEPHORA COLLECTION',$18.00,6,4
'Photo Finish Reduce Redness Primer','Smashbox',$15.00 - $39.00,0,4
'Pro Filt'r Complexion Essentials','FENTY BEAUTY by Rihanna',$79.00,0,4
'Hydra-Mist Set & Refresh Powder','BECCA',$19.00 - $39.00,2,4.5
'Magic Foundation','Charlotte Tilbury',$44.00,19,3.5
'Holographic Stick','MILK MAKEUP',$14.00 - $18.00,5,4
'Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+','IT Cosmetics',$35.00,6,3.5
'Backlight Priming Filter Face Primer','BECCA',$21.00 - $39.00,0,4.5
'Eye Basics','Laura Mercier',$28.00,3,4.5
'Shade + Light Powder Contour Palette Refill','Kat Von D',$14.00 - $16.00,11,4.5
'High-Adherence Silicone Primer','The Ordinary',$4.90,0,4
'No Poreblem Primer','Touch In Sol',$18.00,0,4
'Smooth Operator™ Amazonian Clay Tinted Pressed Finishing Powder','tarte',$34.00,3,4
'Wanderlust Powder Foundation','Wander Beauty',$40.00,9,4
'BB Crème au Ginseng','Erborian',$39.00,2,4.5
'Eye Duty Triple Remedy: Brighten, Depuff and Smooth','First Aid Beauty',$36.00,0,4
'Contour & Strobe Lip Set','HUDA BEAUTY',$25.00,2,4.5
'Traceless Foundation Stick','TOM FORD',$87.00,28,4.5
'Lingerie De Peau Natural Perfection Foundation SPF 20','Guerlain',$63.00,13,4.5
'4-in-1 Setting Mist - Rainforest of the Sea™ Collection','tarte',$12.00 - $25.00,0,4
'Wonderglow Face Primer','Charlotte Tilbury',$55.00,0,4
'Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50','Dior',$82.00,4,4.5
'Blemish Rescue™ Customizable Kit - for Acne Prone Skin','bareMinerals',$45.00,0,5
'Water Blend Face & Body Foundation','MAKE UP FOR EVER',$43.00,19,4
'BB Cream SPF 35','Bobbi Brown',$47.00,6,4
'Primed & Peachy Cooling Matte Perfecting Primer – Peaches and Cream Collection','Too Faced',$16.00 - $34.00,0,4
'Soft Light Blurring Setting Powder','BECCA',$38.00,0,4
'Broad Spectrum Concealer','bareMinerals',$20.00,2,4.5
'Flex Concealer','MILK MAKEUP',$28.00,15,4
'Power Fabric High Coverage Stretchable Concealer','Giorgio Armani Beauty',$34.00,19,4.5
'Cali Contour Palette','Smashbox',$39.00,0,4.5
'Living Luminizer','rms beauty',$38.00,0,4.5
'Diorskin Forever Perfect Matte Powder Foundation','Dior',$54.00,10,4.5
'Colored Clay CC Undereye Corrector','tarte',$25.00,1,4
'The Reparative SkinTint SPF 30','La Mer',$95.00,3,4
'Mattifying Primer With Anti-Acne Treatment','COVER FX',$16.00 - $38.00,0,3.5
'Photo Finish Primer Oil','Smashbox',$42.00,0,4.5
'Stay-Matte Oil-Free Makeup','CLINIQUE',$27.00,19,4
'Match Stix Shimmer Skinstick','FENTY BEAUTY by Rihanna',$25.00,9,4.5
'Boi-ing Industrial Strength Concealer','Benefit Cosmetics',$22.00,5,4
'First Light Priming Filter Face Primer','BECCA',$21.00 - $39.00,0,4.5
'Veil Fluid Makeup Oil Free Broad Spectrum SPF 15','Hourglass',$60.00,10,4
'Shimmer Brick Highlighter','Bobbi Brown',$25.00 - $48.00,5,4.5
'Hangover Dynamic Duo','Too Faced',$42.00,0,4.5
'Shimmering Skin Perfector® Liquid Highlighter','BECCA',$19.00 - $41.00,8,4.5
'Silk Crème Moisturizing Photo Edition Foundation','Laura Mercier',$48.00,15,4
'Vibrancy Argan Oil Foundation Fluid','Josie Maran',$45.00,13,4
'Acne Solutions Liquid Makeup','CLINIQUE',$29.00,13,4
'Optical Illusion Complexion Primer','Urban Decay',$16.00 - $36.00,0,4
'Ever-Matte Poreless Priming Perfector','BECCA',$21.00 - $39.00,0,3.5
'Invisiblur™ Perfecting Shield Broad Spectrum SPF 30 PA+++','Murad',$19.00 - $65.00,0,4
'Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30','CLINIQUE',$39.00,2,4
'Defense Refresh Setting Mist Broad Spectrum SPF 50','Supergoop!',$12.00 - $28.00,0,3.5
'Glitter Drops','COVER FX',$44.00,2,4
'UV Expert Aquagel Defense Primer & Moisturizer SPF 50','Lancôme',$39.00,0,4.5
'Dew Drops Coconut Gel Highlighter','Marc Jacobs Beauty',$44.00,0,4.5
'Prime Time  BB Tinted Primer Broad Spectrum SPF 30','bareMinerals',$27.00,3,4
'Limitless Foundation','STELLAR',$38.00,34,4
'Photo Finish Primerizer','Smashbox',$15.00 - $42.00,0,4
'Candleglow Sheer Perfecting Powder','Laura Mercier',$38.00,5,4
'Glow on the Go Highlighter Set','BECCA',$20.00,1,4.5
'Secret Concealer','Laura Mercier',$27.00,11,4.5
'Born This Way Naturally Radiant Concealer','Too Faced',$28.00,15,3.5
'On-The-Glow Blush and Illuminator','Wander Beauty',$42.00,2,4
